NAME,RA,DEC,LIT_SPT,SpT. Ref.,Spt Bibcode,Discovery Ref.,Ref Bibcode,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
CWISE J062316.20+071506.3,95.8175283,7.2510573,sdT3,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,,,,,,,,,,,,,
2MASS J06453153−6646120,101.3813840,-66.7700120,d/sdT0,Kirkpatrick et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJS..190..100K/abstract,Kirkpatrick et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJS..190..100K/abstract,,,,,,,,,,,,,
WISEA J071121.36-573634.2,107.8389350,-57.6096440,d/sdL9,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Kellogg et al. 2018,https://ui.adsabs.harvard.edu/abs/2018AJ....155...87K/abstract,,,,,,,,,,,,,
LSPM J0723+0316,110.9293666,3.2727198,sdM7.5,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,Lépine et al. 2007,https://ui.adsabs.harvard.edu/abs/2007ApJ...669.1235L/abstract,,,,,,,,,,,,,
CWISE J073844.52−664334.6,114.6855000,-66.7262800,esdT0,Meisner et al. 2021,https://ui.adsabs.harvard.edu/abs/2021ApJ...915..120M/abstract,Meisner et al. 2021,https://ui.adsabs.harvard.edu/abs/2021ApJ...915..120M/abstract,,,,,,,,,,,,,
ULAS J074431.30+283915.6,116.1301751,28.6546699,esdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
SDSS J075054.74+445418.7,117.7282219,44.9055551,sdL0.5,Schneider et al. 2023,https://ui.adsabs.harvard.edu/abs/2023AJ....166..103S/abstract,Thompson et al. 2013,https://ui.adsabs.harvard.edu/abs/2013PASP..125..809T/abstract,,,,,,,,,,,,,
ULAS J075335.23+200622.4,118.3969223,20.1066599,sdL0,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
HD 65486B,119.5074856,-25.6511413,d/sdT4.5,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Deacon et al. 2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...755...94D/abstract,1090.000,5.000,,Deacon et al. 2012,,,,,,,,,
SDSS J080605.53+292800.8,121.5229795,29.4670707,esdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
2MASS J08121049+3723223,123.0437120,37.3892901,esdM7,Lépine et al. 2008b,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,Lépine et al. 2008b,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,,,,,,,,,,,,,
2MASS J08220659+0441026,125.5274770,4.6840710,sdL0,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,3013.328,3004.645,3025.411,5.239,5.221,5.263,-1.106,-1.124,-1.079
LSR J0822+1700,125.6406303,17.0052578,usdM7.5,Lodieu et al. 2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...628A..61L/abstract,Lépine et al. 2003c,https://ui.adsabs.harvard.edu/abs/2003AJ....126..921L/abstract,,,,,,,,,,,,,
WISE J082650.64+285251.9,126.7106637,28.8816887,sdM8.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
WISE J083337.82+005214.1,128.4054227,0.8752413,d/sdT9,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Pinfield et al. 2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.437.1009P/abstract,,,,,,,,,,,,,
CWISE J084506.49−330532.1,131.2775799,-33.0935168,d/sdT6.5,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Kirkpatrick et al. 2021,https://ui.adsabs.harvard.edu/abs/2021ApJS..253....7K/abstract,,,,,,,,,,,,,
2MASS J08503941-0221528,132.6641425,-2.3646949,d/sdL6,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,,,,,,,,,
LP 426-61,137.2654234,19.6956433,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
CWISE J091105.03+214645.4,137.7708061,21.7780059,d/sdT8,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Kirkpatrick et al. 2021,https://ui.adsabs.harvard.edu/abs/2021ApJS..253....7K/abstract,,,,,,,,,,,,,
SDSS J093244.46+011259.8,143.1852301,1.2166387,sdM8.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
CWISE J093735.65+293127.2,144.4002196,29.5219897,sdT6,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Burgasser et al. 2002,https://ui.adsabs.harvard.edu/abs/2002ApJ...564..421B/abstract,,,,,,,,,,,,,
